,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
3343,1951-03-05,Iran,Burma,2,0,Asian Games,New Delhi,India,True
3344,1951-03-05,India,Indonesia,3,0,Asian Games,New Delhi,India,False
3346,1951-03-07,Iran,Japan,0,0,Asian Games,New Delhi,India,True
3347,1951-03-07,India,Afghanistan,3,0,Asian Games,New Delhi,India,False
3348,1951-03-08,Iran,Japan,3,2,Asian Games,New Delhi,India,True
3349,1951-03-09,Japan,Afghanistan,2,0,Asian Games,New Delhi,India,True
3350,1951-03-10,India,Iran,1,0,Asian Games,New Delhi,India,False
3898,1954-12-18,Sri Lanka,Pakistan,1,2,Friendly,Calcutta,India,True
3899,1954-12-19,India,Myanmar,2,1,Friendly,Calcutta,India,False
3901,1954-12-21,India,Sri Lanka,1,1,Friendly,Calcutta,India,False
3902,1954-12-23,Myanmar,Pakistan,1,1,Friendly,Calcutta,India,True
3903,1954-12-25,Myanmar,Sri Lanka,1,2,Friendly,Calcutta,India,True
4142,1956-06-17,India,China PR,0,1,Friendly,New Delhi,India,False
4251,1956-12-29,India,Yugoslavia,0,3,Friendly,Calcutta,India,False
4818,1959-12-05,Iran,Israel,3,0,AFC Asian Cup qualification,Ernakulam,India,True
4821,1959-12-06,India,Pakistan,1,0,AFC Asian Cup qualification,Ernakulam,India,False
4822,1959-12-08,India,Israel,1,3,AFC Asian Cup qualification,Ernakulam,India,False
4824,1959-12-10,Israel,Pakistan,2,0,AFC Asian Cup qualification,Ernakulam,India,True
4827,1959-12-12,Israel,Iran,1,1,AFC Asian Cup qualification,Ernakulam,India,True
4839,1959-12-17,Pakistan,Israel,2,2,AFC Asian Cup qualification,Ernakulam,India,True
12865,1982-02-16,India,China PR,1,1,Nehru Cup,Calcutta,India,False
12874,1982-02-18,India,South Korea,2,2,Nehru Cup,Calcutta,India,False
12883,1982-02-20,South Korea,Uruguay,2,2,Nehru Cup,Calcutta,India,True
12886,1982-02-22,China PR,Uruguay,0,0,Nehru Cup,Calcutta,India,True
12892,1982-02-25,India,Uruguay,1,3,Nehru Cup,Calcutta,India,False
12893,1982-03-01,China PR,South Korea,1,1,Nehru Cup,Calcutta,India,True
